strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
MediumBreakout,BREAKOUT,Final holdout,trend_strength,NORMAL,EXPLORATORY,21,7,14,0.333333,5.602900,0.266805,1.782670,4.207900,1.263500,-0.546814,-0.231900,11,0.557818,10,-0.053310,2026.05.01 11:10:00,2026.07.15 20:34:58
MediumBreakout,BREAKOUT,Final holdout,trend_strength,STRONG,INSUFFICIENT,2,1,1,0.500000,1.000000,0.500000,2.000000,1.000000,1.396200,-0.911550,0.500000,1,-1.000000,1,2.000000,2026.05.25 01:05:00,2026.06.05 16:39:57
MediumBreakout,BREAKOUT,Final holdout,trend_strength,WEAK,MODERATE_SAMPLE,58,17,41,0.293103,-7.068300,-0.121867,0.798342,13.590800,1.108488,-1.481948,-1.000000,29,-0.319007,29,0.075272,2026.05.12 17:00:00,2026.07.21 05:39:58
MediumBreakout,BREAKOUT,Final holdout,volatility,CONTRACTING,INSUFFICIENT,15,4,11,0.266667,-2.807900,-0.187193,0.706578,5.000000,1.177727,-2.600347,-1.000000,6,0.000000,9,-0.311989,2026.05.13 20:40:00,2026.06.17 22:24:58
MediumBreakout,BREAKOUT,Final holdout,volatility,EXPANDING,EXPLORATORY,31,11,20,0.354839,4.079600,0.131600,1.290068,4.468900,1.267481,-0.863903,-0.318200,15,-0.193627,16,0.436500,2026.05.01 11:10:00,2026.07.21 05:39:58
MediumBreakout,BREAKOUT,Final holdout,volatility,NORMAL,EXPLORATORY,35,10,25,0.285714,-1.737100,-0.049631,0.911263,9.377900,1.047440,-0.956371,-0.785000,20,-0.060540,15,-0.035087,2026.05.14 09:05:00,2026.07.16 05:39:58
MediumBreakout,BREAKOUT,Full window,alignment,FULLY_ALIGNED,STRONGER_DESCRIPTIVE_SAMPLE,133,43,90,0.323308,-4.248400,-0.031943,0.941450,14.467900,1.048196,-0.950901,-0.613100,68,0.026419,65,-0.092998,2025.03.05 09:20:00,2026.07.15 15:59:58
MediumBreakout,BREAKOUT,Full window,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,288,97,191,0.336806,-1.689300,-0.005866,0.988796,30.291500,1.040162,-0.826649,-0.579400,140,0.038006,148,-0.047366,2025.03.04 11:25:00,2026.07.21 05:39:58
MediumBreakout,BREAKOUT,Full window,alignment,PARTIALLY_ALIGNED,MODERATE_SAMPLE,92,26,66,0.282609,-15.325900,-0.166586,0.720548,18.525000,0.905843,-1.059760,-0.835550,43,-0.307249,49,-0.043147,2025.03.05 05:45:00,2026.07.15 14:44:58
MediumBreakout,BREAKOUT,Full window,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,260,83,177,0.319231,-11.303500,-0.043475,0.918299,33.150300,0.992459,-0.935752,-0.607000,109,0.049111,151,-0.110309,2025.03.04 11:25:00,2026.07.21 05:39:58
MediumBreakout,BREAKOUT,Full window,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,253,83,170,0.328063,-9.960100,-0.039368,0.928766,21.044200,1.044565,-0.864613,-0.652500,142,-0.080616,111,0.013400,2025.03.24 01:00:00,2026.07.16 05:39:58
MediumBreakout,BREAKOUT,Full window,market_phase,BREAKOUT,INSUFFICIENT,4,1,3,0.250000,-2.124500,-0.531125,0.128410,2.437500,0.438475,-0.745675,-0.718750,4,-0.531125,0,0.000000,2025.03.27 17:30:00,2025.12.10 05:15:00
MediumBreakout,BREAKOUT,Full window,market_phase,COMPRESSION,INSUFFICIENT,4,2,2,0.500000,1.217000,0.304250,2.107673,1.000000,0.834500,-0.458500,0.108500,2,0.500000,2,0.108500,2025.05.12 06:25:00,2025.08.12 21:00:00
MediumBreakout,BREAKOUT,Full window,market_phase,PULLBACK,STRONGER_DESCRIPTIVE_SAMPLE,141,52,89,0.368794,1.793600,0.012721,1.024447,21.541500,1.042204,-0.851188,-0.623100,58,0.081914,83,-0.035631,2025.03.04 16:30:00,2026.07.15 20:34:58
