research_signal,production_candidate,eligible_candidate,cluster,execution_intent,order,position,entry_deal,exit_deal,closed_strategybook_trade,reported_r,recomputed_r,final_status,classification
SSR|ASIA_HIGH|20250311|1741689300|FINAL,SSRP|ASIA_HIGH|20250311|1741689300|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250311|1741691100|FINAL,SSRP|ASIA_HIGH|20250311|1741691100|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250311|1741691400|FINAL,SSRP|ASIA_HIGH|20250311|1741691400|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250311|1741692300|FINAL,SSRP|ASIA_HIGH|20250311|1741692300|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250311|1741692600|FINAL,SSRP|ASIA_HIGH|20250311|1741692600|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250311|1741693200|FINAL,SSRP|ASIA_HIGH|20250311|1741693200|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250312|1741773900|FINAL,SSRP|ASIA_HIGH|20250312|1741773900|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250312,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250312,16,16,16,17,true,1.4576,1.457583547557907,EXECUTED,broker-executed
SSR|ASIA_LOW|20250312|1741777500|FINAL,SSRP|ASIA_LOW|20250312|1741777500|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250312,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250312,18,18,18,19,true,-1.0000,-1.0,EXECUTED,broker-executed
SSR|ASIA_LOW|20250312|1741778100|FINAL,SSRP|ASIA_LOW|20250312|1741778100|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250312,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250312|1741778400|FINAL,SSRP|ASIA_LOW|20250312|1741778400|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250312,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
