logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251029,390,1,1,0.44,0.44000000,3985.32000000,3985.32,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251030,392,1,1,0.22,0.22000000,3991.06000000,3991.06,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251031,394,1,1,0.13,0.13000000,3980.38000000,3980.3800000000006,-1.0000,-0.9999999999999752,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251103,396,1,1,0.29,0.29000000,4023.83000000,4023.83,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251104,398,1,1,0.29,0.29000000,3991.34000000,3991.34,2.0012,2.001209189842832,2.00120919,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251105,400,1,1,0.29,0.29000000,3959.00000000,3959.0,1.9988,1.998789346247057,1.99878935,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251106,402,1,1,0.12,0.12000000,3999.74000000,3999.74,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251107,404,1,1,0.26,0.26000000,4011.95000000,4011.95,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251110,406,1,1,0.72,0.72000000,4071.16000000,4071.1599999999994,-1.0000,-0.9999999999998654,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251111,408,1,1,0.72,0.72000000,4112.66000000,4112.66,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251113,410,1,1,0.14,0.14000000,4183.57000000,4183.57,2.0006,2.0006108735491885,2.00061087,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251113,412,1,1,0.12,0.12000000,4160.71000000,4160.71,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251114,414,1,1,0.2,0.20000000,4162.24000000,4162.24,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251118,416,1,1,0.38,0.38000000,4002.14000000,4002.14,-1.0000,-1.0,-1.00000000,true,true,true
