strategy_id;family_id;setup_name;signal_time;expiry_time;direction;entry;stop;target;score;origin_id;event_id;reason;canonical_variant_id;hypothesis_version;regime_id;session_id;reference_level_type;structural_context;stop_distance_points;target_r;spread_to_risk_ratio
1202;10;Break-Retest Continuation;2025.03.06 14:30:00;2025.03.06 14:45:00;SHORT;2901.17;2907.23;2889.05;7.0000;BO|XAUUSD|5|1|S|1741269600|MSZZ|XAUUSD|5|1|-1|1741266000|1741266300;BRC|BO|XAUUSD|5|1|S|1741269600|MSZZ|XAUUSD|5|1|-1|1741266000|1741266300|1741269600|FINAL;confirmed medium-structure break, frozen-window retest, close through rejection bar extreme;BRC-CANON-1;D031v1;2025.03.06 14:30:00;London;MEDIUM_SWING_HIGH_LOW;break_level=2905.49538;bars_since_break=6;606.00;2.0000;0.011551
1200;8;Session Sweep Reversal;2025.03.06 16:50:00;2025.03.06 17:05:00;LONG;2915.37;2909.36;2927.39;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741278900|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 16:50:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2909.54000;600.99;2.0000;0.014975
1200;8;Session Sweep Reversal;2025.03.06 17:00:00;2025.03.06 17:15:00;LONG;2920.31;2913.42;2934.09;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741280100|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 17:00:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2913.62000;688.79;2.0000;0.007259
1200;8;Session Sweep Reversal;2025.03.06 17:45:00;2025.03.06 18:00:00;LONG;2915.49;2908.72;2929.03;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741282500|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 17:45:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2908.91000;677.19;2.0000;0.013290
1200;8;Session Sweep Reversal;2025.03.06 18:00:00;2025.03.06 18:15:00;LONG;2915.51;2912.38;2921.77;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741283100|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 18:00:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2912.57000;312.76;2.0000;0.015987
1200;8;Session Sweep Reversal;2025.03.06 18:15:00;2025.03.06 18:30:00;LONG;2915.84;2912.37;2922.78;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741284300|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 18:15:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2912.54000;347.14;2.0000;0.025926
1200;8;Session Sweep Reversal;2025.03.06 18:20:00;2025.03.06 18:35:00;LONG;2918.00;2913.74;2926.53;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741284900|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 18:20:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2913.90000;426.29;2.0000;0.014075
1200;8;Session Sweep Reversal;2025.03.06 20:45:00;2025.03.06 21:00:00;LONG;2916.16;2913.67;2921.14;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741293600|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 20:45:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2913.78000;249.10;2.0000;0.020072
1200;8;Session Sweep Reversal;2025.03.06 20:50:00;2025.03.06 21:05:00;LONG;2916.02;2913.67;2920.72;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741293900|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 20:50:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2913.78000;235.18;2.0000;0.025513
1200;8;Session Sweep Reversal;2025.03.06 21:45:00;2025.03.06 22:00:00;LONG;2915.95;2912.21;2923.42;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741296000|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 21:45:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2912.32000;373.75;2.0000;0.013378
