strategy,feature,bucket,operator,threshold,canonical,trades,cumulative_r,expectancy_r,note
SweepReclaim,normalized_atr,EXPANDING,gt,1.15,false,96,9.487800,0.098831,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,normalized_atr,EXPANDING,gt,1.20,true,89,0.868000,0.009753,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,normalized_atr,EXPANDING,gt,1.25,false,83,-3.827600,-0.046116,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,directional_efficiency,WEAK,lt,0.30,false,129,24.828200,0.192467,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,directional_efficiency,WEAK,lt,0.35,true,143,32.689100,0.228595,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,directional_efficiency,WEAK,lt,0.40,false,148,33.689100,0.227629,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,directional_efficiency,STRONG,gt,0.60,false,11,-2.809500,-0.255409,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,directional_efficiency,STRONG,gt,0.65,true,7,-1.809500,-0.258500,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,directional_efficiency,STRONG,gt,0.70,false,3,1.272500,0.424167,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,38,3.459900,0.091050,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,55,8.978200,0.163240,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,62,14.175900,0.228644,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,normalized_atr,CONTRACTING,lt,0.75,false,30,-4.719400,-0.157313,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,normalized_atr,CONTRACTING,lt,0.80,true,35,-3.719400,-0.106269,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,normalized_atr,CONTRACTING,lt,0.85,false,43,-5.719400,-0.133009,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,normalized_atr,EXPANDING,gt,1.15,false,4,-2.639900,-0.659975,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,normalized_atr,EXPANDING,gt,1.20,true,1,-1.000000,-1.000000,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,normalized_atr,EXPANDING,gt,1.25,false,0,0.000000,,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,directional_efficiency,WEAK,lt,0.30,false,60,-4.218700,-0.070312,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,directional_efficiency,WEAK,lt,0.35,true,69,-5.970900,-0.086535,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,directional_efficiency,WEAK,lt,0.40,false,71,-6.749600,-0.095065,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,directional_efficiency,STRONG,gt,0.60,false,3,0.000000,0.000000,offline entry-time sensitivity; classifier and executions unchanged
